Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
Serial Number:,MY62160698,,-0.996875,0.279296841705218,
Firmware Version:,02.65.2021030741,,-0.996843,0.218749973922968,
Start Time:,2023-07-05 14:29:16.758,,-0.996811,0.259765594033524,
Capture#:,2,,-0.996779,0.218749973922968,
,,,-0.996747,0.240234346361831,
,,,-0.996715,0.259765594033524,
,,,-0.996683,0.0800781154539436,
,,,-0.996651,0,
,,,-0.996619,0.0390624953433871,
,,,-0.996587,-0.18164060334675,
,,,-0.996555,-0.261718718800694,
,,,-0.996523,-0.460937445051968,
,,,-0.996491,-0.460937445051968,
,,,-0.996459,-0.662109296070412,
,,,-0.996427,-0.822265526978299,
,,,-0.996395,-0.781249906867743,
,,,-0.996363,-0.781249906867743,
,,,-0.996331,-0.902343642432243,
,,,-0.996299,-1.04101550090127,
,,,-0.996267,-1.20117173180915,
,,,-0.996235,-1.2617185995914,
,,,-0.996203,-1.22265610424802,
,,,-0.996171,-1.08203112101182,
,,,-0.996139,-1.02148425322957,
,,,-0.996107,-0.742187411524355,
,,,-0.996075,-0.720703039085492,
,,,-0.996043,-0.88085926999338,
,,,-0.996011,-1.60156230907887,
,,,-0.995979,-1.92187477089465,
,,,-0.995947,-1.92187477089465,
,,,-0.995915,-1.92187477089465,
,,,-0.995883,-1.92187477089465,
,,,-0.995851,-1.92187477089465,
,,,-0.995819,-1.92187477089465,
,,,-0.995787,-1.92187477089465,
,,,-0.995755,-1.92187477089465,
,,,-0.995723,-1.92187477089465,
,,,-0.995691,-1.92187477089465,
,,,-0.995659,-1.92187477089465,
,,,-0.995627,-1.92187477089465,
,,,-0.995595,-1.92187477089465,
,,,-0.995563,-1.92187477089465,
,,,-0.995531,-1.92187477089465,
,,,-0.995499,-1.92187477089465,
,,,-0.995467,-1.92187477089465,
,,,-0.995435,-1.92187477089465,
,,,-0.995403,-1.92187477089465,
,,,-0.995371,-1.92187477089465,
,,,-0.995339,-1.92187477089465,
,,,-0.995307,-1.92187477089465,
,,,-0.995275,-1.92187477089465,
,,,-0.995243,-1.92187477089465,
,,,-0.995211,-1.92187477089465,
,,,-0.995179,-1.92187477089465,
,,,-0.995147,-1.92187477089465,
,,,-0.995115,-1.92187477089465,
,,,-0.995083,-1.92187477089465,
,,,-0.995051,-1.92187477089465,
,,,-0.995019,-1.92187477089465,
,,,-0.994987,-1.92187477089465,
,,,-0.994955,-1.92187477089465,
,,,-0.994923,-1.92187477089465,
,,,-0.994891,-1.92187477089465,
,,,-0.994859,-1.92187477089465,
,,,-0.994827,-1.92187477089465,
,,,-0.994795,-1.92187477089465,
,,,-0.994763,-1.92187477089465,
,,,-0.994731,-1.92187477089465,
,,,-0.994699,-1.92187477089465,
,,,-0.994667,-1.92187477089465,
,,,-0.994635,-1.92187477089465,
,,,-0.994603,-1.92187477089465,
,,,-0.994571,-1.92187477089465,
,,,-0.994539,-1.92187477089465,
,,,-0.994507,-1.92187477089465,
,,,-0.994475,-1.92187477089465,
,,,-0.994443,-1.92187477089465,
,,,-0.994411,-1.92187477089465,
,,,-0.994379,-1.92187477089465,
,,,-0.994347,-1.92187477089465,
,,,-0.994315,-1.92187477089465,
,,,-0.994283,-1.92187477089465,
,,,-0.994251,-1.92187477089465,
,,,-0.994219,-1.92187477089465,
,,,-0.994187,-1.92187477089465,
,,,-0.994155,-1.92187477089465,
,,,-0.994123,-1.92187477089465,
,,,-0.994091,-1.92187477089465,
,,,-0.994059,-1.92187477089465,
,,,-0.994027,-1.92187477089465,
,,,-0.993995,-1.92187477089465,
,,,-0.993963,-1.92187477089465,
,,,-0.993931,-1.92187477089465,
,,,-0.993899,-1.92187477089465,
,,,-0.993867,-1.92187477089465,
,,,-0.993835,-1.92187477089465,
,,,-0.993803,-1.92187477089465,
,,,-0.993771,-1.92187477089465,
,,,-0.993739,-1.92187477089465,
,,,-0.993707,-1.92187477089465,
,,,-0.993675,-1.92187477089465,
,,,-0.993643,-1.92187477089465,
,,,-0.993611,-1.92187477089465,
,,,-0.993579,-1.92187477089465,
,,,-0.993547,-1.92187477089465,
,,,-0.993515,-1.92187477089465,
,,,-0.993483,-1.92187477089465,
,,,-0.993451,-1.92187477089465,
,,,-0.993419,-1.92187477089465,
,,,-0.993387,-1.92187477089465,
,,,-0.993355,-1.92187477089465,
,,,-0.993323,-1.92187477089465,
,,,-0.993291,-1.92187477089465,
,,,-0.993259,-1.92187477089465,
,,,-0.993227,-1.92187477089465,
,,,-0.993195,-1.92187477089465,
,,,-0.993163,-1.92187477089465,
,,,-0.993131,-1.92187477089465,
,,,-0.993099,-1.92187477089465,
,,,-0.993067,-1.92187477089465,
,,,-0.993035,-1.92187477089465,
,,,-0.993003,-1.92187477089465,
,,,-0.992971,-1.92187477089465,
,,,-0.992939,-1.92187477089465,
,,,-0.992907,-1.92187477089465,
,,,-0.992875,-1.92187477089465,
,,,-0.992843,-1.92187477089465,
,,,-0.992811,-1.92187477089465,
,,,-0.992779,-1.92187477089465,
,,,-0.992747,-1.92187477089465,
,,,-0.992715,-1.92187477089465,
,,,-0.992683,-1.92187477089465,
,,,-0.992651,-1.92187477089465,
,,,-0.992619,-1.92187477089465,
,,,-0.992587,-1.92187477089465,
,,,-0.992555,-1.92187477089465,
,,,-0.992523,-1.92187477089465,
,,,-0.992491,-1.92187477089465,
,,,-0.992459,-1.92187477089465,
,,,-0.992427,-1.92187477089465,
,,,-0.992395,-1.92187477089465,
,,,-0.992363,-1.92187477089465,
,,,-0.992331,-1.92187477089465,
,,,-0.992299,-1.92187477089465,
,,,-0.992267,-1.92187477089465,
,,,-0.992235,-1.92187477089465,
,,,-0.992203,-1.92187477089465,
,,,-0.992171,-1.86328102787957,
,,,-0.992139,-1.8417966554407,
,,,-0.992107,-1.80273416009732,
,,,-0.992075,-1.64257792918943,
,,,-0.992043,-1.52148419362493,
,,,-0.992011,-1.30273421970196,
,,,-0.991979,-1.30273421970196,
,,,-0.991947,-1.22265610424802,
,,,-0.991915,-1.20117173180915,
,,,-0.991883,-1.18164048413746,
,,,-0.991851,-1.18164048413746,
,,,-0.991819,-1.14257798879407,
,,,-0.991787,-1.12109361635521,
,,,-0.991755,-1.14257798879407,
,,,-0.991723,-1.12109361635521,
,,,-0.991691,-1.10156236868352,
,,,-0.991659,-1.10156236868352,
,,,-0.991627,-1.06249987334013,
,,,-0.991595,-1.02148425322957,
,,,-0.991563,-1.04101550090127,
,,,-0.991531,-1.02148425322957,
,,,-0.991499,-1.04101550090127,
,,,-0.991467,-1.00195300555788,
,,,-0.991435,-1.00195300555788,
,,,-0.991403,-0.94140613777563,
,,,-0.991371,-0.960937385447323,
,,,-0.991339,-0.902343642432243,
,,,-0.991307,-0.921874890103936,
,,,-0.991275,-0.921874890103936,
,,,-0.991243,-0.88085926999338,
,,,-0.991211,-0.88085926999338,
,,,-0.991179,-0.88085926999338,
,,,-0.991147,-0.88085926999338,
,,,-0.991115,-0.861328022321686,
,,,-0.991083,-0.861328022321686,
,,,-0.991051,-0.841796774649993,
,,,-0.991019,-0.88085926999338,
,,,-0.990987,-0.822265526978299,
,,,-0.990955,-0.921874890103936,
,,,-0.990923,-1.10156236868352,
,,,-0.990891,-1.10156236868352,
,,,-0.990859,-1.14257798879407,
,,,-0.990827,-1.4023435828276,
,,,-0.990795,-1.4023435828276,
,,,-0.990763,-1.52148419362493,
,,,-0.990731,-1.88281227555126,
,,,-0.990699,-1.86328102787957,
,,,-0.990667,-1.86328102787957,
,,,-0.990635,-1.90234352322295,
,,,-0.990603,-1.72265604464337,
,,,-0.990571,-1.64257792918943,
,,,-0.990539,-1.48242169828154,
,,,-0.990507,-1.66210917686112,
,,,-0.990475,-1.92187477089465,
,,,-0.990443,-1.92187477089465,
,,,-0.990411,-1.92187477089465,
,,,-0.990379,-1.92187477089465,
,,,-0.990347,-1.92187477089465,
,,,-0.990315,-1.92187477089465,
,,,-0.990283,-1.92187477089465,
,,,-0.990251,-1.92187477089465,
,,,-0.990219,-1.92187477089465,
,,,-0.990187,-1.92187477089465,
,,,-0.990155,-1.92187477089465,
,,,-0.990123,-1.92187477089465,
,,,-0.990091,-1.92187477089465,
,,,-0.990059,-1.92187477089465,
,,,-0.990027,-1.92187477089465,
,,,-0.989995,-1.92187477089465,
,,,-0.989963,-1.92187477089465,
,,,-0.989931,-1.92187477089465,
,,,-0.989899,-1.92187477089465,
,,,-0.989867,-1.92187477089465,
,,,-0.989835,-1.92187477089465,
,,,-0.989803,-1.92187477089465,
,,,-0.989771,-1.92187477089465,
,,,-0.989739,-1.92187477089465,
,,,-0.989707,-1.92187477089465,
,,,-0.989675,-1.92187477089465,
,,,-0.989643,-1.92187477089465,
,,,-0.989611,-1.92187477089465,
,,,-0.989579,-1.92187477089465,
,,,-0.989547,-1.92187477089465,
,,,-0.989515,-1.92187477089465,
,,,-0.989483,-1.92187477089465,
,,,-0.989451,-1.92187477089465,
,,,-0.989419,-1.92187477089465,
,,,-0.989387,-1.92187477089465,
,,,-0.989355,-1.92187477089465,
,,,-0.989323,-1.92187477089465,
,,,-0.989291,-1.92187477089465,
,,,-0.989259,-1.92187477089465,
,,,-0.989227,-1.92187477089465,
,,,-0.989195,-1.92187477089465,
,,,-0.989163,-1.92187477089465,
,,,-0.989131,-1.92187477089465,
,,,-0.989099,-1.92187477089465,
,,,-0.989067,-1.92187477089465,
,,,-0.989035,-1.92187477089465,
,,,-0.989003,-1.92187477089465,
,,,-0.988971,-1.92187477089465,
,,,-0.988939,-1.92187477089465,
,,,-0.988907,-1.92187477089465,
,,,-0.988875,-1.92187477089465,
,,,-0.988843,-1.92187477089465,
,,,-0.988811,-1.92187477089465,
,,,-0.988779,-1.92187477089465,
,,,-0.988747,-1.92187477089465,
,,,-0.988715,-1.92187477089465,
,,,-0.988683,-1.92187477089465,
,,,-0.988651,-1.92187477089465,
,,,-0.988619,-1.92187477089465,
,,,-0.988587,-1.92187477089465,
,,,-0.988555,-1.92187477089465,
,,,-0.988523,-1.92187477089465,
,,,-0.988491,-1.92187477089465,
,,,-0.988459,-1.92187477089465,
,,,-0.988427,-1.92187477089465,
,,,-0.988395,-1.92187477089465,
,,,-0.988363,-1.92187477089465,
,,,-0.988331,-1.92187477089465,
,,,-0.988299,-1.92187477089465,
,,,-0.988267,-1.92187477089465,
,,,-0.988235,-1.92187477089465,
,,,-0.988203,-1.92187477089465,
,,,-0.988171,-1.92187477089465,
,,,-0.988139,-1.92187477089465,
,,,-0.988107,-1.92187477089465,
,,,-0.988075,-1.92187477089465,
,,,-0.988043,-1.92187477089465,
,,,-0.988011,-1.92187477089465,
,,,-0.987979,-1.92187477089465,
,,,-0.987947,-1.92187477089465,
,,,-0.987915,-1.92187477089465,
,,,-0.987883,-1.92187477089465,
,,,-0.987851,-1.92187477089465,
,,,-0.987819,-1.92187477089465,
,,,-0.987787,-1.92187477089465,
,,,-0.987755,-1.92187477089465,
,,,-0.987723,-1.92187477089465,
,,,-0.987691,-1.92187477089465,
,,,-0.987659,-1.92187477089465,
,,,-0.987627,-1.92187477089465,
,,,-0.987595,-1.92187477089465,
,,,-0.987563,-1.92187477089465,
,,,-0.987531,-1.92187477089465,
,,,-0.987499,-1.92187477089465,
,,,-0.987467,-1.92187477089465,
,,,-0.987435,-1.92187477089465,
,,,-0.987403,-1.92187477089465,
,,,-0.987371,-1.92187477089465,
,,,-0.987339,-1.92187477089465,
,,,-0.987307,-1.92187477089465,
,,,-0.987275,-1.92187477089465,
,,,-0.987243,-1.92187477089465,
,,,-0.987211,-1.92187477089465,
,,,-0.987179,-1.92187477089465,
,,,-0.987147,-1.92187477089465,
,,,-0.987115,-1.92187477089465,
,,,-0.987083,-1.92187477089465,
,,,-0.987051,-1.92187477089465,
,,,-0.987019,-1.92187477089465,
,,,-0.986987,-1.92187477089465,
,,,-0.986955,-1.92187477089465,
,,,-0.986923,-1.92187477089465,
,,,-0.986891,-1.92187477089465,
,,,-0.986859,-1.92187477089465,
,,,-0.986827,-1.92187477089465,
,,,-0.986795,-1.92187477089465,
,,,-0.986763,-1.92187477089465,
,,,-0.986731,-1.92187477089465,
,,,-0.986699,-1.92187477089465,
,,,-0.986667,-1.90234352322295,
,,,-0.986635,-1.8417966554407,
,,,-0.986603,-1.86328102787957,
,,,-0.986571,-1.76171853998676,
,,,-0.986539,-1.70312479697168,
,,,-0.986507,-1.60156230907887,
,,,-0.986475,-1.58203106140718,
,,,-0.986443,-1.4023435828276,
,,,-0.986411,-1.36132796271704,
,,,-0.986379,-1.30273421970196,
,,,-0.986347,-1.22265610424802,
,,,-0.986315,-1.22265610424802,
,,,-0.986283,-1.10156236868352,
,,,-0.986251,-1.02148425322957,
,,,-0.986219,-0.982421757886186,
,,,-0.986187,-0.960937385447323,
,,,-0.986155,-0.982421757886186,
,,,-0.986123,-0.841796774649993,
,,,-0.986091,-0.781249906867743,
,,,-0.986059,-0.800781154539436,
,,,-0.986027,-0.800781154539436,
,,,-0.985995,-0.662109296070412,
,,,-0.985963,-0.701171791413799,
,,,-0.985931,-0.601562428288162,
,,,-0.985899,-0.601562428288162,
,,,-0.985867,-0.480468692723662,
,,,-0.985835,-0.541015560505912,
,,,-0.985803,-0.541015560505912,
,,,-0.985771,-0.521484312834218,
,,,-0.985739,-0.521484312834218,
,,,-0.985707,-0.501953065162525,
,,,-0.985675,-0.480468692723662,
,,,-0.985643,-0.380859329598024,
,,,-0.985611,-0.300781214144081,
,,,-0.985579,-0.220703098690137,
,,,-0.985547,-0.380859329598024,
,,,-0.985515,-0.220703098690137,
,,,-0.985483,-0.380859329598024,
,,,-0.985451,-0.281249966472387,
,,,-0.985419,-0.300781214144081,
,,,-0.985387,-0.320312461815774,
,,,-0.985355,-0.240234346361831,
,,,-0.985323,-0.201171851018444,
,,,-0.985291,-0.201171851018444,
