#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2DC85
#Date Time: 2023-08-27 14:17:38.203
#Sample rate: 8000Hz
#Samples: 28201
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: -11.02 mV Hyst.: Auto HoldOff: 0 s
#Math 1: Function: C1 - C2

Time (s),Math 1 (V)
-16.384,-0.001978296188202767
-16.383875,0.003022512634192299
-16.38375,0.003356443485776526
-16.383625,0.003356443485771696
-16.3835,0.003024551122039214
-16.383375,0.003356443485776526
-16.38325,0.003356443485776526
-16.383125,0.003356443485776526
-16.383,0.003022512634192299
-16.382875,0.002356689418861069
-16.38275,0.002022758567286561
-16.382625,0.002354650931023843
-16.3825,0.002020720079439613
-16.382375,0.001686789227855387
-16.38225,0.00135285837627116
-16.382125,0.001018927524682071
-16.382,0.0006849966731075634
-16.381875,1.713496993424775e-05
-16.38175,1.713496993424775e-05
-16.381625,-0.0003167958816499786
-16.3815,-0.0006507267332390643
-16.381375,-0.0009846575848184349
-16.38125,-0.0009846575848184349
-16.381125,-0.0009846575848184349
-16.381,-0.0009846575848184349
-16.380875,-0.000650726733234205
-16.38075,-0.000650726733234205
-16.380625,-0.0006507267332293457
-16.3805,-0.000316795881654838
-16.380375,1.713496993424775e-05
-16.38025,0.000684996673102704
-16.380125,0.00101892752468693
-16.38,0.001686789227855416
-16.379875,0.00168882771571688
-16.37975,0.003022512634172891
-16.379625,0.003356443485776526
-16.3795,0.003690374337360752
-16.379375,0.004358236040529208
-16.37925,0.004360274528376123
-16.379125,0.004692166892118294
-16.379,0.005026097743692805
-16.378875,0.004694205379955524
-16.37875,0.004694205379955524
-16.378625,0.004692166892113435
-16.3785,0.004026343676782208
-16.378375,0.003692412825202811
-16.37825,0.003690374337360781
-16.378125,0.003356443485776526
-16.378,0.003024551122034385
-16.377875,0.002356689418865928
-16.37775,0.002354650931014124
-16.377625,0.001686789227845668
-16.3775,0.001018927524696649
-16.377375,0.0003510658215184776
-16.37725,1.713496993424775e-05
-16.377125,-0.0003167958816499786
-16.377,-0.0006507267332390643
-16.376875,-0.0009846575848232943
-16.37675,-0.001318588436397802
-16.376625,-0.0009846575848184349
-16.3765,-0.0009846575848184349
-16.376375,-0.0009846575848184349
-16.37625,-0.001318588436402661
-16.376125,-0.001318588436397802
-16.376,-0.0009846575848232943
-16.375875,-0.0009846575848184349
-16.37575,-0.0003167958816499786
-16.375625,1.713496993424775e-05
-16.3755,0.0006849966731075633
-16.375375,0.001018927524696649
-16.37525,0.001686789227845668
-16.375125,0.001688827715697472
-16.375,0.002688581782608069
-16.374875,0.002356689418865928
-16.37475,0.003022512634192299
-16.374625,0.003022512634192299
-16.3745,0.002690620270454988
-16.374375,0.003022512634192299
-16.37425,0.002688581782608069
-16.374125,0.002688581782608069
-16.374,0.002354650931014124
-16.373875,0.001686789227865105
-16.37375,0.00135285837627602
-16.373625,0.00101892752468693
-16.3735,0.000684996673102704
-16.373375,0.000684996673102704
-16.37325,1.713496992938842e-05
-16.373125,-0.0003167958816451193
-16.373,-0.0009846575848087161
-16.372875,-0.001318588436402661
-16.37275,-0.001318588436402661
-16.372625,-0.001652519287986891
-16.3725,-0.001986450139575977
-16.372375,-0.002320380991150485
-16.37225,-0.002320380991155344
-16.372125,-0.002320380991155344
-16.372,-0.002320380991155344
-16.371875,-0.002320380991155344
-16.37175,-0.002986204206472026
-16.371625,-0.002320380991165033
-16.3715,-0.001986450139575977
-16.371375,-0.001984411651729032
-16.37125,-0.001650480800144802
-16.371125,-0.000650726733234205
-16.371,-0.00031679588164026
-16.370875,0.0003510658215087589
-16.37075,0.001350819888414523
-16.370625,0.001686789227855387
-16.3705,0.002020720079439613
-16.370375,0.002688581782608069
-16.37025,0.002356689418870788
-16.370125,0.002690620270445299
-16.37,0.003356443485766837
-16.369875,0.002690620270450158
-16.36975,0.002690620270450158
-16.369625,0.002688581782608069
-16.3695,0.002022758567276813
-16.369375,0.001686789227860276
-16.36925,0.001686789227855387
-16.369125,0.001686789227855387
-16.369,0.00135285837627116
-16.368875,0.00101892752468693
-16.36875,0.0003510658215087589
-16.368625,-0.00031679588164026
-16.3685,-0.0006507267332293456
-16.368375,-0.0009846575848184349
-16.36825,-0.001318588436402661
-16.368125,-0.001652519287986891
-16.368,-0.002318342503308429
-16.367875,-0.001986450139575947
-16.36775,-0.001986450139571118
-16.367625,-0.001986450139571118
-16.3675,-0.001986450139571118
-16.367375,-0.001986450139571118
-16.36725,-0.001986450139566258
-16.367125,-0.001652519287991751
-16.367,-0.001318588436402661
-16.366875,-0.0009846575848184349
-16.36675,-0.0003167958816499786
-16.366625,1.713496993424775e-05
-16.3665,0.0003531043093702522
-16.366375,0.001018927524677242
-16.36625,0.00135285837627116
-16.366125,0.002020720079439613
-16.366,0.002022758567281702
-16.365875,0.002688581782612929
-16.36575,0.003022512634192299
-16.365625,0.003022512634192299
-16.3655,0.003024551122034385
-16.365375,0.003022512634192299
-16.36525,0.002356689418865928
-16.365125,0.002022758567286531
-16.365,0.002354650931018983
-16.364875,0.002020720079444472
-16.36475,0.002020720079439613
-16.364625,0.001686789227855387
-16.3645,0.00135285837627116
-16.364375,0.001018927524682071
-16.36425,0.0006849966730978447
-16.364125,0.0003510658215233369
-16.364,1.713496993424775e-05
-16.363875,-0.0006486882453921195
-16.36375,-0.0009826190969763459
-16.363625,-0.001316549948555746
-16.3635,-0.0009846575848135755
-16.363375,-0.0006507267332390644
-16.36325,-0.001316549948560576
-16.363125,-0.0009846575848184349
