#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2DC85
#Date Time: 2023-08-27 14:24:14.470
#Sample rate: 8000Hz
#Samples: 28564
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: -11.02 mV Hyst.: Auto HoldOff: 0 s
#Math 1: Function: C1 - C2

Time (s),Math 1 (V)
-16.384,0.3640038016845845
-16.383875,0.3643356940483266
-16.38375,0.3583249387198105
-16.383625,0.3519802525396227
-16.3835,0.3459715356991236
-16.383375,0.339958741882678
-16.38325,0.3336140557025777
-16.383125,0.3276033003740615
-16.383,0.3212586141939612
-16.382875,0.3149139280137686
-16.38275,0.308571280321695
-16.382625,0.306231725872671
-16.3825,0.3005569398835812
-16.382375,0.2962138003251442
-16.38225,0.291538768402965
-16.382125,0.2868637364807226
-16.382,0.282522635410254
-16.381875,0.2788493960427643
-16.38175,0.2748422258237536
-16.381625,0.2711689864563271
-16.3815,0.2674957470888472
-16.381375,0.2638245462092627
-16.38125,0.2601513068419431
-16.381125,0.2574778215413738
-16.381,0.2541385130255315
-16.380875,0.2514691047006997
-16.38075,0.2494634811033183
-16.380625,0.2471259651422238
-16.3805,0.2444545183296278
-16.380375,0.2421170023684993
-16.38025,0.2397794864074097
-16.380125,0.2377759012979044
-16.38,0.2354383853367759
-16.379875,0.2327669385241167
-16.37975,0.2310972842662441
-16.379625,0.2310972842662198
-16.3795,0.2290957376445565
-16.379375,0.2270921525350511
-16.37925,0.2267561831956248
-16.379125,0.2267561831956054
-16.379,0.2254224982771494
-16.378875,0.2244186672345352
-16.37875,0.2217492589097035
-16.378625,0.2197456738001981
-16.3785,0.2174081578390502
-16.378375,0.2134009876200346
-16.37825,0.209059886549566
-16.378125,0.2040509237757394
-16.378,0.1993758918535602
-16.377875,0.1943648905919547
-16.37775,0.1880202044117573
-16.377625,0.1813436258679196
-16.3775,0.1749989396880039
-16.377375,0.1679863918046428
-16.37725,0.1606399130697898
-16.377125,0.1569666737023633
-16.377,0.1446091937052391
-16.376875,0.09885862855063486
-16.37675,0.07214823740035819
-16.376625,0.0454317307853892
-16.3765,-0.0009866960726605204
-16.376375,-0.04673318425185762
-16.37625,-0.08814060984891413
-16.376125,-0.1302158971485414
-16.376,-0.173292977001653
-16.375875,-0.2130287098529609
-16.37575,-0.2504289652303944
-16.375625,-0.2824863269824803
-16.3755,-0.3118742804101668
-16.375375,-0.3415941262011291
-16.37525,-0.3689764560302388
-16.375125,-0.3953569933057913
-16.375,-0.4254107699483717
-16.374875,-0.4554625081031102
-16.37475,-0.4805073219722382
-16.374625,-0.5018788964730069
-16.3745,-0.5212468858649212
-16.374375,-0.5309308805611457
-16.37425,-0.5382793977838407
-16.374125,-0.5436202529213463
-16.374,-0.5466256305856141
-16.373875,-0.547293492288763
-16.37375,-0.5469595614371935
-16.373625,-0.5469615999250306
-16.3735,-0.5466276690734464
-16.373375,-0.5442881146245148
-16.37325,-0.5402809444054263
-16.373125,-0.5349380507802342
-16.373,-0.5289272954517278
-16.372875,-0.5219147475683715
-16.37275,-0.5132325454271816
-16.372625,-0.4998753113638125
-16.3725,-0.4831787687843727
-16.372375,-0.4674840187603707
-16.37225,-0.4554625081032851
-16.372125,-0.4421052740397411
-16.372,-0.4240730080541928
-16.371875,-0.4077103963265656
-16.37175,-0.3903459920439817
-16.371625,-0.3763208962778523
-16.3715,-0.358956491995521
-16.371375,-0.3165472738440715
-16.37125,-0.2811506035761434
-16.371125,-0.2607808216295055
-16.371,-0.2277216673220157
