#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2DC85
#Date Time: 2023-08-27 14:23:27.349
#Sample rate: 8000Hz
#Samples: 29057
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: -11.02 mV Hyst.: Auto HoldOff: 0 s
#Math 1: Function: C1 - C2

Time (s),Math 1 (V)
-16.384,-0.3639511853541372
-16.383875,-0.4808412528235115
-16.38375,-0.4721590506823216
-16.383625,-0.4588018166187289
-16.3835,-0.4434409974463015
-16.383375,-0.4300837633827089
-16.38325,-0.4187301144288451
-16.383125,-0.4060407420686445
-16.383,-0.3896781303410173
-16.382875,-0.3726496953978597
-16.38275,-0.3586245996317303
-16.382625,-0.3482727432324152
-16.3825,-0.3238937525789245
-16.382375,-0.2831541886856487
-16.38225,-0.2557738973435841
-16.382125,-0.2380735237213066
-16.382,-0.2056822311185792
-16.381875,-0.1626051512637425
-16.38175,-0.1238691724799721
-16.381625,-0.09014419495780722
-16.3815,-0.06176007257281743
-16.381375,-0.0390527746651677
-16.38125,-0.02168837038329324
-16.381125,-0.007663274616502987
-16.381,0.003690374337360752
-16.380875,0.0127065073301349
-16.38075,0.02005298606508509
-16.380625,0.02673160309676968
-16.3805,0.03341225861610189
-16.380375,0.04042276801162579
-16.38025,0.04710138504331034
-16.380125,0.05478179462974758
-16.38,0.06279613506786137
-16.379875,0.06914082124802004
-16.37975,0.07949471613467185
-16.379625,0.1376007227983202
-16.3795,0.1743290394969011
-16.379375,0.1920273746308651
-16.37925,0.2264242908324901
-16.379125,0.2681656472804845
-16.379,0.3075674492784345
-16.378875,0.347305220617531
-16.37875,0.3643356940483266
-16.378625,0.3563213536103051
-16.3785,0.3499766674301222
-16.378375,0.3443018814410421
-16.37825,0.3392929186674245
-16.378125,0.3336160941904197
-16.378,0.3286071314166563
-16.377875,0.3242639918582193
-16.37775,0.3195889599359623
-16.377625,0.3142460663106196
-16.3775,0.3092371035370019
-16.377375,0.3042281407631656
-16.37725,0.298885247137818
-16.377125,0.2932084226608861
-16.377,0.2905390143359912
-16.376875,0.2861958747775541
-16.37675,0.2818547737070856
-16.376625,0.2775136726364274
-16.3765,0.2731725715658325
-16.376375,0.269501370686248
-16.37625,0.2658281313187681
-16.376125,0.2621548919513513
-16.376,0.2591474757993386
-16.375875,0.2554742364318684
-16.37575,0.2521369664038682
-16.375625,0.248797657888026
-16.3755,0.2461241725874712
-16.375375,0.2434527257747925
-16.37525,0.2404473481106219
-16.375125,0.2381098321494886
-16.375,0.235772316188399
-16.374875,0.2334348002273094
-16.37475,0.2307633534145967
-16.374625,0.2280939450898427
-16.3745,0.2260883214924856
-16.374375,0.2237528440192088
-16.37425,0.2210813972065351
-16.374125,0.2184099503938612
-16.374,0.2177420886906733
-16.373875,0.2164043267965332
-16.37375,0.2140668108354582
-16.373625,0.212397156577503
-16.3735,0.2113953640227504
-16.373375,0.2100596406164134
-16.37325,0.2063884397367853
-16.373125,0.2033830620726147
-16.373,0.2010435076236733
-16.372875,0.1980381299593813
-16.37275,0.1933651365250441
-16.372625,0.1890219969666071
-16.3725,0.1840130341927805
-16.372375,0.1796719331223119
-16.37225,0.1743290394969788
-16.372125,0.168318284168385
-16.372,0.1623075288398689
-16.371875,0.1559628426597686
-16.37175,0.1489502947763977
-16.371625,0.141937746893333
-16.3715,0.138264507525858
-16.371375,0.1279126511266934
-16.37125,0.08917463385508094
-16.371125,0.06446782781353227
-16.371,0.03908704460467174
-16.370875,-0.003322173545290887
-16.37075,-0.04339387573543223
-16.370625,-0.0791244768555277
-16.3705,-0.1178604556392981
-16.370375,-0.1589339503841581
-16.37025,-0.195666344058909
-16.370125,-0.2290573907285179
-16.37,-0.2574415131132501
-16.369875,-0.2841580197282434
-16.36975,-0.3112064187065659
-16.369625,-0.3369190942785514
-16.3695,-0.3612960464445888
-16.369375,-0.3880105145705495
-16.36925,-0.4150589135488671
-16.369125,-0.4387680040117409
-16.369,-0.4581359934036261
-16.368875,-0.4754983591981639
-16.36875,-0.4841805613394655
-16.368625,-0.4918609709256793
-16.3685,-0.4985395879573783
-16.368375,-0.5018788964733178
-16.36825,-0.5015449656217336
-16.368125,-0.5012110347701494
-16.368,-0.5012110347701494
-16.367875,-0.5012110347701494
-16.36775,-0.4988735188090598
-16.367625,-0.4952002794416333
-16.3675,-0.4911931092226225
-16.367375,-0.4861841464488591
-16.36725,-0.4801733911202264
-16.367125,-0.4721590506824382
-16.367,-0.4598036091737051
-16.366875,-0.4447767208524149
-16.36675,-0.4314215252768879
-16.366625,-0.4207336995383505
-16.3665,-0.4080443271779166
-16.366375,-0.3920156463023402
-16.36625,-0.3749872113591534
-16.366125,-0.3599603230378631
-16.366,-0.3472709506776625
-16.365875,-0.3325759547195993
-16.36575,-0.2971792844517052
-16.365625,-0.2641201301458288
-16.3655,-0.2420827324286308
-16.365375,-0.2123608481497924
-16.36525,-0.1726230768112693
-16.365125,-0.1365585448396966
-16.365,-0.103835359872192
-16.364875,-0.06476341175013239
-16.36475,-0.03103843422739892
-16.364625,-0.006327551210166076
-16.3645,0.0127065073301349
-16.364375,0.02706553394842193
-16.36425,0.03842122139009368
-16.364125,0.04743531589476339
-16.364,0.05478179462974758
-16.363875,0.06146041166143214
-16.36375,0.06780509784153246
-16.363625,0.07414978402172998
-16.3635,0.08082840105343396
-16.363375,0.08884274149122216
-16.36325,0.09685708192936027
-16.363125,0.10220201404255
-16.363,0.147618648345847
-16.362875,0.1943648905922171
-16.36275,0.2123971565779161
-16.362625,0.2407833174495914
-16.3625,0.2851961207107067
-16.362375,0.325265784412972
-16.36225,0.3593267312745632
-16.362125,0.3613282778961196
-16.362,0.3539838376491232
-16.361875,0.3476391514692075
-16.36175,0.3426301886953518
-16.361625,0.3372872950700042
-16.3615,0.3322783322962408
-16.361375,0.3272693695224044
-16.36125,0.3222604067486459
-16.361125,0.3175853748266028
-16.361,0.3129103429043555
-16.360875,0.3075674492790079
-16.36075,0.3028924173568287
-16.360625,0.2968837005160769
-16.3605,0.2915408068907536
-16.360375,0.2878655290355919
-16.36025,0.2851940822228646
-16.360125,0.2801851194491012
-16.36,0.2758440183785063
-16.359875,0.271502917307853
-16.35975,0.267495747088852
-16.359625,0.264158477060949
-16.3595,0.260817130057216
-16.359375,0.2571438906897895
-16.35925,0.2538045821739472
-16.359125,0.2504652736580564
-16.359,0.2471259651423113
-16.358875,0.2444545183296278
-16.35875,0.2411152098137467
-16.358625,0.2384437630010728
-16.3585,0.2361062470399832
-16.358375,0.2337687310788547
-16.35825,0.2310993227541007
-16.358125,0.2284278759414269
-16.358,0.2260903599802984
-16.357875,0.224084736382951
-16.35775,0.2217492589097035
-16.357625,0.2197456738001495
-16.3575,0.2164043267965624
-16.357375,0.2154045727296177
-16.35725,0.2140688493232663
-16.357125,0.2120632257259188
-16.357,0.2100616791042555
-16.356875,0.2093917789132207
-16.35675,0.2077241631431902
-16.356625,0.2063884397368484
-16.3565,0.20505067784265
-16.356375,0.202045300178392
-16.35625,0.1997077842173024
-16.356125,0.1963705141892439
-16.356,0.1923613054825077
-16.355875,0.1876862735603382
-16.35575,0.1826793492743488
-16.355625,0.1773364556490012
-16.3555,0.1713236618326431
-16.355375,0.1643131524371337
-16.35525,0.158634289472525
-16.355125,0.1522896032924344
-16.355,0.1452770554090733
-16.354875,0.1396002309321414
-16.35475,0.1342573373067938
-16.354625,0.1015300753631823
-16.3545,0.06613544358412637
-16.354375,0.0484371084499048
-16.35425,0.01437412310021395
-16.354125,-0.03037057252423047
-16.354,-0.07010834386275357
-16.353875,-0.1061728758344284
-16.35375,-0.1459106471717949
-16.353625,-0.1833109025492625
-16.3535,-0.2177057802629822
-16.353375,-0.2497611035272259
-16.35325,-0.2771454718449747
-16.353125,-0.3035260091205174
-16.353,-0.3302404772464781
-16.352875,-0.3552852911153195
-16.35275,-0.3796622432813326
-16.352625,-0.4060427805564866
-16.3525,-0.4324233178316406
-16.352375,-0.4547946464001944
-16.35225,-0.4721590506820689
-16.352125,-0.4841805613393537
-16.352,-0.4885216624099487
-16.351875,-0.4965380413358123
-16.35175,-0.5025487966643283
-16.351625,-0.5045503432859771
-16.3515,-0.5035485507312535
-16.351375,-0.5018809349611598
-16.35125,-0.5015470041095756
-16.351125,-0.5005452115548229
-16.351,-0.4985416264453176
-16.350875,-0.4945344562262339
-16.35075,-0.4895234549647743
-16.350625,-0.4831787687846011
-16.3505,-0.475832290049748
-16.350375,-0.4658143645022212
-16.35025,-0.4527930997780743
-16.350125,-0.4387659655236996
-16.35,-0.4250748006091447
-16.349875,-0.4120535358850027
-16.34975,-0.3983623709700493
-16.349625,-0.3836694135003433
-16.3495,-0.369310386881998
-16.349375,-0.3539495677091624
-16.34925,-0.3412601953493311
-16.349125,-0.3108704493671396
-16.349,-0.2724704399227955
-16.348875,-0.2500970728666523
-16.34875,-0.2297272909194798
-16.348625,-0.1929928587572755
-16.3485,-0.1495818480525894
-16.348375,-0.1131854237171189
-16.34825,-0.07745482259760657
-16.348125,-0.03671525870433079
-16.348,-0.0009846575844491255
-16.347875,0.02439408713585499
-16.34775,0.04309421482402748
-16.347625,0.05645144888766872
-16.3475,0.06680330528677977
-16.347375,0.07515157657638546
-16.34725,0.08149626275657812
-16.347125,0.08784094893667845
-16.347,0.09418563511659411
-16.346875,0.1001963904452025
-16.34675,0.1072089383284713
-16.346625,0.1148893479149085
-16.3465,0.1192304489858583
-16.346375,0.1436094396398495
-16.34625,0.2023812695169631
-16.346125,0.2280919066019617
-16.346,0.2484616885485997
-16.345875,0.2868657749686279
-16.34575,0.328939023780865
-16.345625,0.360996385532426
-16.3455,0.3569871768256899
-16.345375,0.3499766674302048
-16.34525,0.3439659121016887
-16.345125,0.3389569493279253
-16.345,0.3336140557025048
-16.344875,0.3286050929287413
-16.34475,0.3235961301551237
-16.344625,0.3189210982328716
-16.3445,0.3139121354591082
-16.344375,0.309237103536929
-16.34425,0.3042281407630927
-16.344125,0.2992191779893293
-16.344,0.2942102152157117
-16.343875,0.2885333907387069
-16.34375,0.2835244279649435
-16.343625,0.2815208428554382
-16.3435,0.2768458109332007
-16.343375,0.2728386407143065
-16.34325,0.2684975396437164
-16.343125,0.2638245462093162
-16.343,0.260817130057216
-16.342875,0.2571438906897895
-16.34275,0.2534706513223193
-16.342625,0.2504652736581487
-16.3425,0.2474598959938907
-16.342375,0.2437866566264204
-16.34225,0.2407812789621624
-16.342125,0.2377759012979044
-16.342,0.2351044544851965
-16.341875,0.232766938524175
-16.34175,0.2304294225630854
-16.341625,0.2280919066019617
-16.3415,0.2254204597892879
-16.341375,0.2234168746797825
-16.34125,0.2210793587186638
-16.341125,0.2190757736092167
-16.341,0.2170721884997114
-16.340875,0.21373287998384
-16.34075,0.2117313333621767
-16.340625,0.2110634716590082
-16.3405,0.209393817401053
-16.340375,0.2070563014400315
-16.34025,0.2060524703974173
-16.340125,0.2047187854789079
-16.34,0.2037149544363131
-16.339875,0.2023792310299762
-16.33975,0.2007095767720162
-16.339625,0.1980381299594202
-16.3395,0.1957006139983257
-16.339375,0.1916934437792809
-16.33925,0.1863505501539333
-16.339125,0.1816755182317541
-16.339,0.1766665554579032
-16.338875,0.1706558001295621
-16.33875,0.164645044801046
-16.338625,0.1583003586208581
-16.3385,0.1516217415891736
-16.338375,0.1446091937059048
-16.33825,0.1379305766741717
-16.338125,0.1345933066462686
-16.338,0.1168908945368294
-16.337875,0.07248012976371164
-16.33775,0.05277820952024222
-16.337625,0.026063741393504
-16.3375,-0.01701537694930112
-16.337375,-0.05808683320512369
-16.33725,-0.09448529602787251
-16.337125,-0.1345569982185095
-16.337,-0.1729590461506957
-16.336875,-0.2090235781217923
-16.33675,-0.2414148707258754
-16.336625,-0.2697989931097086
-16.3365,-0.2975152537916126
-16.336375,-0.3238957910667666
-16.33625,-0.3476048815292467
-16.336125,-0.3716479028433111
-16.336,-0.3993641635251859
-16.335875,-0.4257447007995721
-16.33575,-0.447784137004515
-16.335625,-0.4671521263964002
-16.3355,-0.484514492190938
-16.335375,-0.491860970925791
-16.33525,-0.4988735188091132
-16.335125,-0.5025487966642748
-16.335,-0.5048863126254179
-16.334875,-0.5052182049891601
-16.33475,-0.5052182049891601
-16.334625,-0.5055521358407298
-16.3345,-0.5045503432859577
-16.334375,-0.502212827324936
-16.33425,-0.4978717262543071
-16.334125,-0.49319873281997
-16.334,-0.4878538007067802
-16.333875,-0.4811751836749742
-16.33375,-0.4728289508731474
-16.333625,-0.460137540025474
-16.3335,-0.444778759340257
-16.333375,-0.4314194867890458
-16.33325,-0.4197319069835978
-16.333125,-0.4070425346231688
-16.333,-0.3913477845987052
-16.332875,-0.3753191037231288
-16.33275,-0.3599603230378631
-16.332625,-0.3496084666387521
-16.3325,-0.3289027153526879
-16.332375,-0.288497082310559
-16.33225,-0.258445344155981
-16.332125,-0.2394112856162339
-16.332,-0.2086876087823659
-16.331875,-0.1669462523343375
-16.33175,-0.1298799278084882
-16.331625,-0.09414932668839759
-16.3315,-0.05441155534997173
-16.331375,-0.02135443953193737
-16.33125,0.003022512634192299
-16.331125,0.02072084776815636
-16.331,0.03441201268310969
-16.330875,0.04476386908233252
-16.33075,0.05244427866875517
-16.330625,0.05912289570024536
-16.3305,0.06546758188044287
-16.330375,0.07181226806054319
-16.33025,0.07849088509222774
-16.330125,0.08483557127243986
-16.33,0.09251801934669973
-16.329875,0.0988627055266154
-16.32975,0.1068770459647292
-16.329625,0.1609758824092161
-16.3295,0.2007095767720551
-16.329375,0.2197436353128226
-16.32925,0.2518030355529011
-16.329125,0.2942122537028637
-16.329,0.3332821633388355
-16.328875,0.3609963855324843
-16.32875,0.3553195610555525
-16.328625,0.3486409440237853
-16.3285,0.3429641195468631
-16.328375,0.3379551567732455
-16.32825,0.332612263147825
-16.328125,0.3279372312256458
-16.328,0.3225943376002982
-16.327875,0.3179193056780509
-16.32775,0.3132442737560078
-16.327625,0.3082353109822493
-16.3275,0.3032263482084129
-16.327375,0.2982173854346495
-16.32725,0.2928744918093019
-16.327125,0.2871976673323312
-16.327,0.284526220519735
-16.326875,0.2805190503007438
-16.32675,0.2761779492300905
-16.326625,0.2715029173079113
-16.3265,0.2674957470889006
-16.326375,0.2638225077214255
-16.32625,0.2604831992056804
-16.326125,0.2568099598382588
-16.326,0.2531367204707788
-16.325875,0.2494655195911944
-16.32575,0.2467920342906785
-16.325625,0.2434527257747925
-16.3255,0.2404473481106219
-16.325375,0.2374419704463639
-16.32525,0.2351044544852305
-16.325125,0.232766938524141
-16.325,0.2300954917114671
-16.324875,0.2277600142381855
-16.32475,0.225420459789322
-16.324625,0.2230829438282324
-16.3245,0.2207474663549508
-16.324375,0.2187438812454454
-16.32425,0.2164043267965138
-16.324125,0.2137328799838303
-16.324,0.2130650182806812
-16.323875,0.2113953640227746
-16.32375,0.2090578480616608
-16.323625,0.2077221246553238
-16.3235,0.2067203321005711
-16.323375,0.2053846086942051
-16.32325,0.203381023584758
-16.323125,0.1997077842173558
-16.323,0.1967044450408864
-16.322875,0.1943669290797968
-16.32275,0.1910255820761124
-16.322625,0.1860166193022762
-16.3225,0.1810076565286586
-16.322375,0.1759986937548951
-16.32225,0.1706558001294746
-16.322125,0.1646450448009585
-16.322,0.1589682203240266
-16.321875,0.1526235341438291
-16.32175,0.145944917112339
-16.321625,0.1385984383774957
-16.3215,0.134591268158378
-16.321375,0.1265769277203565
-16.32125,0.08950856470666517
-16.321125,0.06179434251270536
-16.321,0.04042276801193678
-16.320875,-0.0003188343694920642
-16.32075,-0.04305994488443111
-16.320625,-0.08046020026186461
-16.3205,-0.1181943864908823
-16.320375,-0.1572642961267763
-16.32025,-0.1943306206515468
-16.320125,-0.2287254983652617
-16.32,-0.2584433056684159
-16.319875,-0.2854937431345804
-16.31975,-0.3128760729644871
-16.319625,-0.3379208868336443
-16.3195,-0.3612960464438599
-16.319375,-0.387676583719354
-16.31925,-0.4160607061040134
-16.319125,-0.4411055199728305
-16.319,-0.4611413710681174
-16.318875,-0.4771700519440583
-16.31875,-0.48618618493657
-16.318625,-0.4925308711168015
-16.3185,-0.5002112807032387
-16.318375,-0.5052182049891601
-16.31825,-0.5048863126254034
-16.318125,-0.5038845200706603
-16.318,-0.5035505892190859
-16.317875,-0.503550589219081
-16.31775,-0.5018788964733178
-16.317625,-0.4985416264453176
-16.3175,-0.4938665945230655
-16.317375,-0.4888576317492875
-16.31725,-0.4828468764209464
-16.317125,-0.475832290049748
-16.317,-0.4644786410958843
-16.316875,-0.4494537912624362
-16.31675,-0.434426902940971
-16.316625,-0.4224053922839485
-16.3165,-0.4110517433304152
-16.316375,-0.3976945092668809
-16.31625,-0.3819997592424222
-16.316125,-0.3643014241084581
-16.316,-0.3492745357869833
-16.315875,-0.3365851634264764
-16.31575,-0.302856108929609
-16.315625,-0.268797200555369
-16.3155,-0.2484274186087311
-16.315375,-0.2197093653724875
-16.31525,-0.1783019397754796
-16.315125,-0.1395659609918161
-16.315,-0.1081764609438123
-16.314875,-0.07378158323018007
-16.31475,-0.04506352999393648
-16.314625,-0.02335802464096168
-16.3145,-0.006661482061551071
-16.314375,0.007029682853358529
-16.31425,0.01771547010374281
-16.314125,0.02639767224508823
-16.314,0.03374415097994124
-16.313875,0.04075669886321002
-16.31375,0.04710138504340752
-16.313625,0.05378000207509208
-16.3135,0.06045861910658226
-16.313375,0.06813902869311668
-16.31325,0.07648729998272237
-16.313125,0.08116233190490156
-16.313,0.119902387665119
-16.312875,0.1723254543876824
-16.31275,0.1920273746305785
-16.312625,0.2174081578391085
-16.3125,0.2608191685450581
-16.312375,0.3022245556536602
-16.31225,0.3389569493282995
-16.312125,0.3646696248995367
-16.312,0.3576550385289021
-16.311875,0.3506445291333732
-16.31175,0.3453016355080256
-16.311625,0.3402926727342622
-16.3115,0.335283709960421
-16.311375,0.3299408163352289
-16.31125,0.3249318535614606
-16.311125,0.3202568216392085
-16.311,0.3155817897170294
-16.310875,0.3105728269432659
-16.31075,0.3052299333178405
-16.310625,0.2998870396926485
-16.3105,0.2945441460673008
-16.310375,0.2898691141450438
-16.31025,0.2878655290355385
-16.310125,0.2831904971133593
-16.31,0.2785154651911169
-16.309875,0.2741743641206483
-16.30975,0.2701671939016327
-16.309625,0.2664939545341479
-16.3095,0.2631546460183056
-16.309375,0.2598153375024633
-16.30925,0.2561420981349883
-16.309125,0.2528027896192431
-16.309,0.2494634811034009
-16.308875,0.2464581034390943
-16.30875,0.2434527257748362
-16.308625,0.2407812789621624
-16.3085,0.2384437630010388
-16.308375,0.2361062470400172
-16.30825,0.2334348002273483
-16.308125,0.2310972842662198
-16.308,0.2287597683051302
-16.307875,0.2264222523440406
-16.30775,0.224084736382917
-16.307625,0.2217472204218955
-16.3075,0.2187418427576471
-16.307375,0.2177400502028507
-16.30725,0.216738257648098
-16.307125,0.2140668108354242
-16.307,0.2120632257259042
-16.306875,0.2110614331711807
-16.30675,0.210059640616428
-16.306625,0.2087239172100765
-16.3065,0.2060524703974027
-16.306375,0.2023792310299762
-16.30625,0.1997077842172538
-16.306125,0.1963684757015087
-16.306,0.1913595129277696
-16.305875,0.1866844810055175
-16.30575,0.1820094490833383
-16.305625,0.1773344171611591
-16.3055,0.1713236618325507
-16.305375,0.164978975652635
-16.30525,0.1586342894724424
-16.305125,0.1519556724407578
-16.305,0.1452770554090733
-16.304875,0.1392663000805572
-16.30475,0.1352591298611577
-16.304625,0.1085426232473549
-16.3045,0.06980868295103783
-16.304375,0.05277820952024222
-16.30425,0.01971905521340368
-16.304125,-0.02502971738672491
-16.304,-0.06509938108953439
-16.303875,-0.1024996364658794
-16.30375,-0.1402338226954414
-16.303625,-0.1769662163697064
-16.3035,-0.2140325408955557
-16.303375,-0.2467557258633421
-16.30325,-0.2724704399231745
-16.303125,-0.2985170463459862
-16.303,-0.3255654453246877
-16.302875,-0.350944190045089
-16.30275,-0.3766568656170745
-16.302625,-0.4033713337441626
-16.3025,-0.4274143550582124
-16.302375,-0.4504555838168535
-16.30225,-0.469823573209074
-16.302125,-0.4838466304877695
-16.302,-0.4868520081520276
-16.301875,-0.4945324177385474
-16.30175,-0.5002112807032825
-16.301625,-0.503216658367453
-16.3015,-0.503550589219081
-16.301375,-0.5028806890280705
-16.30125,-0.5015470041095756
-16.301125,-0.4995434190000363
-16.301,-0.497205903038937
-16.300875,-0.4942005253747664
-16.30075,-0.4891915626009593
-16.300625,-0.4835147381240274
-16.3005,-0.4765021902407586
-16.300375,-0.4668161570567699
-16.30025,-0.4527930997780646
-16.300125,-0.4381001423087862
-16.3,-0.4260786316515402
-16.299875,-0.4150589135492607
-16.29975,-0.3996980943763863
-16.299625,-0.3826676209453817
-16.2995,-0.3683085943272793
-16.299375,-0.3552852911158735
-16.29925,-0.3449334347165729
-16.299125,-0.3155454812893188
-16.299,-0.2744740250323009
-16.298875,-0.2510988654211183
-16.29875,-0.2313969451774301
-16.298625,-0.1966660981258391
-16.2985,-0.1542589184619789
-16.298375,-0.1171925939361297
-16.29825,-0.08012626941028038
-16.298125,-0.0413902906260775
-16.298,-0.01167044483518814
-16.297875,0.01070292222030396
-16.29775,0.02739946479984091
-16.297625,0.04042276801162579
-16.2975,0.05044069355915262
-16.297375,0.05812110314568704
-16.29725,0.06479972017736188
-16.297125,0.07081047550570303
-16.297,0.07715516168589083
-16.296875,0.08349984786599116
-16.29675,0.09051443423710204
-16.296625,0.09852673618735915
-16.2965,0.1038696298125513
-16.296375,0.1232396576920745
-16.29625,0.1826793492743488
-16.296125,0.2107275023195819
-16.296,0.2300954917114671
-16.295875,0.2681656472805185
-16.29575,0.3099070037273322
-16.295625,0.346637358913828
-16.2955,0.3636657938573161
-16.295375,0.3549856302039682
-16.29525,0.3486409440238679
-16.295125,0.3432980503984474
-16.295,0.3382890876248297
-16.294875,0.332946193999487
-16.29475,0.3279372312256458
-16.294625,0.3232621993034666
-16.2945,0.3185871673812874
-16.294375,0.3135782046074511
-16.29425,0.3085692418338335
-16.294125,0.30356027906007
-16.294,0.2985513162862338
-16.293875,0.2932084226608861
-16.29375,0.2878655290355385
-16.293625,0.285528013074376
-16.2935,0.2805190503007584
-16.293375,0.276511880081733
-16.29325,0.2721707790110798
-16.293125,0.268163608792069
-16.293,0.2641584770609004
-16.292875,0.2608171300571674
-16.29275,0.2574778215414223
-16.292625,0.2538045821740007
-16.2925,0.2507992045096892
-16.292375,0.247459895993847
-16.29225,0.2444545183295889
-16.292125,0.2414491406652871
-16.292,0.2384437630011166
-16.291875,0.2361062470400172
-16.29175,0.2337687310788936
-16.291625,0.231431215117804
-16.2915,0.2287597683051302
-16.291375,0.2264222523440066
-16.29125,0.224084736382985
-16.291125,0.2220811512734748
-16.291,0.2197456738001981
-16.290875,0.2170721884996822
-16.29075,0.2147367110264347
-16.290625,0.2137349184716626
-16.2905,0.2123971565775225
-16.290375,0.2100596406164475
-16.29025,0.2087239172100765
-16.290125,0.2073902322915817
-16.29,0.206386401248987
-16.289875,0.2043848546272994
-16.28975,0.2027131618815848
-16.289625,0.2003756459204708
-16.2895,0.1973702682562128
-16.289375,0.1930291671856178
-16.28925,0.1880202044118544
-16.289125,0.1833451724896023
-16.289,0.1783362097159847
-16.288875,0.17265938523898
-16.28875,0.1663146990588796
-16.288625,0.1603039437303635
-16.2885,0.153625326698679
-16.288375,0.1469467096668924
-16.28825,0.1399341617838277
-16.288125,0.1365948532678834
-16.288,0.1218998573103353
-16.287875,0.07849088509222774
-16.28775,0.05645144888727997
-16.287625,0.0297369807603182
-16.2875,-0.01234034502591195
-16.287375,-0.0524100087287895
-16.28725,-0.08814060984830185
-16.287125,-0.1282123120384091
-16.287,-0.1682840142290316
-16.286875,-0.203680684496911
-16.28675,-0.2357360077602219
-16.286625,-0.264454060996932
-16.2865,-0.2928402218694334
-16.286375,-0.3195546899961716
-16.28625,-0.3435977113105859
-16.286125,-0.3676407326246988
-16.286,-0.3950230624538086
-16.285875,-0.4224033537962716
-16.28575,-0.4461124442587518
-16.285625,-0.4641447102443001
-16.2855,-0.4791715985657118
-16.285375,-0.4875198698553321
-16.28525,-0.4968699336994183
-16.285125,-0.502212827324902
-16.285,-0.5042164124344074
-16.284875,-0.5045503432859917
-16.28475,-0.5035485507312389
-16.284625,-0.5035485507312292
-16.2845,-0.5028806890280803
-16.284375,-0.5008771039185651
-16.28425,-0.4972038645511386
-16.284125,-0.4925288326289594
-16.284,-0.4868520081519304
-16.283875,-0.4801733911202216
-16.28375,-0.4718251198308588
-16.283625,-0.4598036091737051
-16.2835,-0.4457805518950096
-16.283375,-0.4317554561284721
-16.28325,-0.4187321529164977
-16.283125,-0.4057088497046982
-16.283,-0.3916837539385689
-16.282875,-0.3769907964686587
-16.28275,-0.3602942538894474
-16.282625,-0.3472709506776625
-16.2825,-0.3299045079068866
-16.282375,-0.2918363908263916
-16.28225,-0.2611167909693788
-16.282125,-0.2410809398738781
-16.282,-0.2096894013371186
-16.281875,-0.1689518759316849
-16.28175,-0.1325534131085036
-16.281625,-0.09815853539520182
-16.2815,-0.05508145554209017
-16.281375,-0.015009753351356
-16.28125,0.01337436903330335
